Date,Close
10/17/17,258.619995
10/18/17,260.040009
10/19/17,259.040009
10/20/17,264.75
10/23/17,262.320007
10/24/17,266
10/25/17,258.420013
10/26/17,259.269989
10/27/17,256.459991
10/30/17,259.25
10/31/17,257.980011
11/1/17,258.5
11/2/17,262.630005
11/3/17,261.75
11/6/17,264.070007
11/7/17,266.130005
11/8/17,265.570007
11/9/17,262.700012
11/10/17,260.850006
11/13/17,262.420013
11/14/17,261.76001
11/15/17,262.859985
11/16/17,263.700012
11/17/17,262.26001
11/20/17,264.630005
11/21/17,266.98999
11/22/17,265.149994
11/24/17,265.880005
11/27/17,265.579987
11/28/17,267.98999
11/29/17,269.299988
11/30/17,276.799988
12/1/17,271.380005
12/4/17,277.970001
12/5/17,275.540009
12/6/17,278.269989
12/7/17,281.970001
12/8/17,285.899994
12/11/17,283.160004
12/12/17,289.940002
12/13/17,291.839996
12/14/17,293.880005
12/15/17,293.940002
12/18/17,296.140015
12/19/17,297.25
12/20/17,297.899994
12/21/17,295.029999
12/22/17,295.100006
12/26/17,295.359985
12/27/17,295.619995
12/28/17,296.350006
12/29/17,294.910004
1/2/18,296.839996
1/3/18,297.799988
1/4/18,296.670013
1/5/18,308.839996
1/8/18,310.149994
1/9/18,318.429993
1/10/18,320.26001
1/11/18,328.119995
1/12/18,336.209991
1/16/18,335.160004
1/17/18,351.01001
1/18/18,340.160004
1/19/18,337.730011
1/22/18,338
1/23/18,335.589996
1/24/18,334.690002
1/25/18,343.109985
1/26/18,343.220001
1/29/18,340.820007
1/30/18,337.709991
1/31/18,354.369995
2/1/18,356.940002
2/2/18,348.910004
2/5/18,328.880005
2/6/18,340.910004
2/7/18,348.119995
2/8/18,329.660004
2/9/18,332.829987
2/12/18,343.799988
2/13/18,343.160004
2/14/18,344.850006
2/15/18,356.459991
2/16/18,355.040009
2/20/18,353.350006
2/21/18,352.369995
2/22/18,355.920013
2/23/18,356.660004
2/26/18,363.480011
2/27/18,364.640015
2/28/18,362.209991
3/1/18,349.690002
3/2/18,344.670013
3/5/18,352.75
3/6/18,348.920013
3/7/18,347.040009
3/8/18,348.730011
3/9/18,354.519989
3/12/18,344.190002
3/13/18,338.670013
3/14/18,330.26001
3/15/18,329.980011
3/16/18,330.470001
3/19/18,331.76001
3/20/18,337.630005
3/21/18,337.100006
3/22/18,319.609985
3/23/18,321
3/26/18,328.970001
3/27/18,321.119995
3/28/18,320.019989
3/29/18,327.880005
4/2/18,322.440002
4/3/18,330.820007
4/4/18,327.440002
4/5/18,336.399994
4/6/18,326.119995
4/9/18,322.480011
4/10/18,334.829987
4/11/18,327.359985
4/12/18,337.480011
4/13/18,329.279999
4/16/18,331.769989
4/17/18,336.720001
4/18/18,341
4/19/18,340.640015
4/20/18,338.670013
4/23/18,338.839996
4/24/18,329.059998
4/25/18,342.859985
4/26/18,342.790009
4/27/18,340.880005
4/30/18,333.559998
5/1/18,329.540009
5/2/18,324.190002
5/3/18,330.690002
5/4/18,334.429993
5/7/18,340.429993
5/8/18,338.369995
5/9/18,344.5
5/10/18,344.070007
5/11/18,342.459991
5/14/18,344.589996
5/15/18,342.119995
5/16/18,340.970001
5/17/18,344.140015
5/18/18,351.230011
5/21/18,363.920013
5/22/18,355.019989
5/23/18,359.209991
5/24/18,359
5/25/18,360.089996
5/29/18,352.480011
5/30/18,358.190002
5/31/18,352.160004
6/1/18,356.720001
6/4/18,360.730011
6/5/18,360.100006
6/6/18,371.559998
6/7/18,368.529999
6/8/18,369.5
6/11/18,370.940002
6/12/18,370.619995
6/13/18,363.850006
6/14/18,362.420013
6/15/18,357.880005
6/18/18,354.73999
6/19/18,341.119995
6/20/18,342.690002
6/21/18,337.660004
6/22/18,338.910004
6/25/18,331.200012
6/26/18,331.299988
6/27/18,329.820007
6/28/18,334.649994
6/29/18,335.51001
7/2/18,336.079987
7/3/18,332.929993
7/5/18,333.179993
7/6/18,334.640015
7/9/18,341.920013
7/10/18,347.160004
7/11/18,340.600006
7/12/18,346.029999
7/13/18,350.790009
7/16/18,356.100006
7/17/18,356.880005
7/18/18,360.230011
7/19/18,355.329987
7/20/18,354.899994
7/23/18,353.269989
7/24/18,358.269989
7/25/18,355.920013
7/26/18,359.320007
7/27/18,360.649994
7/30/18,351.059998
7/31/18,356.299988
8/1/18,352.76001
8/2/18,349.730011
8/3/18,348.440002
8/6/18,346.570007
8/7/18,350.76001
8/8/18,347.779999
8/9/18,343.720001
8/10/18,339.410004
8/13/18,338.359985
8/14/18,339.140015
8/15/18,331.76001
8/16/18,345.980011
8/17/18,346.399994
8/20/18,350.73999
8/21/18,353.769989
8/22/18,350.029999
8/23/18,347.480011
8/24/18,349.380005
8/27/18,353.73999
8/28/18,351.209991
8/29/18,350.190002
8/30/18,346.899994
8/31/18,342.790009
9/4/18,346.25
9/5/18,346.679993
9/6/18,351.269989
9/7/18,349.279999
9/10/18,341.859985
9/11/18,345.25
9/12/18,353.410004
9/13/18,355.459991
9/14/18,359.799988
9/17/18,355.959991
9/18/18,363.579987
9/19/18,365.220001
9/20/18,367.459991
9/21/18,372.230011
9/24/18,367.98999
9/25/18,367.230011
9/26/18,365.029999
9/27/18,367.390015
9/28/18,371.899994
10/1/18,382.290009
10/2/18,386.369995
10/3/18,392.299988
10/4/18,389.98999
10/5/18,386.470001
10/8/18,385.769989
10/9/18,385.440002
10/10/18,367.470001
10/11/18,358.109985
10/12/18,360.109985
10/15/18,358.880005
10/16/18,368.25
10/17/18,365.5
10/18/18,359.350006
10/19/18,356.26001
10/22/18,355.980011
10/23/18,350.049988
10/24/18,354.649994
10/25/18,363.769989
10/26/18,359.269989
10/29/18,335.589996
10/30/18,349.910004
10/31/18,354.859985
11/1/18,363.070007
11/2/18,357.75
11/5/18,361.980011
11/6/18,366.470001
11/7/18,372.019989
11/8/18,370.769989
11/9/18,369.339996
11/12/18,357.029999
11/13/18,349.51001
11/14/18,344.720001
11/15/18,341.570007
11/16/18,335.950012
11/19/18,320.940002
11/20/18,317.700012
11/21/18,317.320007
11/23/18,312.320007
11/26/18,316.359985
11/27/18,318.029999
11/28/18,333.5
11/29/18,342.559998
11/30/18,346.76001
12/3/18,359.959991
12/4/18,342.5
12/6/18,331.899994
12/7/18,323.220001
12/10/18,326.350006
12/11/18,322.029999
12/12/18,326.690002
12/13/18,325.470001
12/14/18,318.75
12/17/18,316.130005
12/18/18,328.059998
12/19/18,319.549988
12/20/18,313.049988
12/21/18,304.549988
12/24/18,294.160004
12/26/18,313.929993
12/27/18,317.140015
12/28/18,316.380005
12/31/18,322.5
1/2/19,323.809998
1/3/19,310.899994
1/4/19,327.079987
1/7/19,328.109985
1/8/19,340.529999
1/9/19,343.829987
1/10/19,352.609985
1/11/19,352.899994
1/14/19,350.359985
1/15/19,352.23999
1/16/19,352.059998
1/17/19,359.089996
1/18/19,364.730011
1/22/19,357.899994
1/23/19,358.609985
1/24/19,358.269989
1/25/19,364.200012
1/28/19,362.970001
1/29/19,364.910004
1/30/19,387.720001
1/31/19,385.619995
2/1/19,387.429993
2/4/19,397
2/5/19,410.179993
2/6/19,411.109985
2/7/19,405.170013
2/8/19,404.910004
2/11/19,403.950012
2/12/19,410.720001
2/13/19,410.579987
2/14/19,409.820007
2/15/19,417.970001
2/19/19,416.26001
2/20/19,421.549988
2/21/19,417.579987
2/22/19,424.049988
2/25/19,426.869995
2/26/19,426.769989
2/27/19,435.440002
2/28/19,439.959991
3/1/19,440.619995
3/4/19,432.690002
3/5/19,430.119995
3/6/19,424.459991
3/7/19,422.559998
3/8/19,422.540009
3/11/19,400.01001
3/12/19,375.410004
3/13/19,377.140015
3/14/19,373.299988
3/15/19,378.98999
3/18/19,372.279999
3/19/19,373.429993
3/20/19,376.160004
3/21/19,372.700012
3/22/19,362.170013
3/25/19,370.459991
3/26/19,370.380005
3/27/19,374.209991
3/28/19,374.440002
3/29/19,381.420013
4/1/19,391.540009
4/2/19,390.75
4/3/19,384.73999
4/4/19,395.859985
4/5/19,391.929993
4/8/19,374.519989
4/9/19,369.040009
4/10/19,364.940002
4/11/19,370.160004
4/12/19,379.640015
4/15/19,375.459991
4/16/19,381.720001
4/17/19,377.519989
4/18/19,380.070007
4/22/19,375.170013
4/23/19,374.019989
4/24/19,375.459991
4/25/19,382.799988
4/26/19,380.790009
4/29/19,379.049988
4/30/19,377.690002
5/1/19,376.799988
5/2/19,375.799988
5/3/19,376.459991
5/6/19,371.600006
5/7/19,357.230011
5/8/19,359.75
5/9/19,354.130005
5/10/19,354.670013
5/13/19,337.369995
5/14/19,343.040009
5/15/19,345.640015
5/16/19,353.809998
5/17/19,355.019989
5/20/19,352.790009
5/21/19,358.75
5/22/19,352.779999
5/23/19,350.549988
5/24/19,354.899994
5/28/19,354.880005
5/29/19,348.799988
5/30/19,349.869995
5/31/19,341.609985
6/3/19,338.890015
6/4/19,344.619995
6/5/19,348.75
6/6/19,350.640015
6/7/19,353.700012
6/10/19,353.799988
6/11/19,349.329987
6/12/19,347.029999
6/13/19,348.859985
6/14/19,347.160004
6/17/19,354.899994
6/18/19,373.959991
6/19/19,368.559998
6/20/19,374.880005
6/21/19,371.839996
6/24/19,373.98999
6/25/19,369.320007
6/26/19,374.940002
6/27/19,364.019989
6/28/19,364.01001
7/1/19,356.459991
7/2/19,354.160004
7/3/19,354.470001
7/5/19,355.859985
7/8/19,351.119995
7/9/19,353.089996
7/10/19,352.299988
7/11/19,359
7/12/19,365.329987
7/15/19,361.609985
7/16/19,362.75
7/17/19,369.519989
7/18/19,361.109985
7/19/19,377.359985
7/22/19,373.420013
7/23/19,373.070007
7/24/19,361.429993
7/25/19,348.089996
7/26/19,345
7/29/19,340.209991
7/30/19,347.459991
7/31/19,341.179993
8/1/19,334.290009
8/2/19,339.559998
8/5/19,331.059998
8/6/19,332.450012
8/7/19,331.380005
8/8/19,336.350006
8/9/19,337.549988
8/12/19,332.940002
8/13/19,332.859985
8/14/19,320.420013
8/15/19,328
8/16/19,330.450012
8/19/19,333.779999
8/20/19,331.75
8/21/19,339.98999
8/22/19,354.410004
8/23/19,356.01001
8/26/19,359.040009
8/27/19,354.730011
8/28/19,359.970001
8/29/19,362.73999
8/30/19,364.089996
9/3/19,354.420013
9/4/19,356.529999
9/5/19,360.299988
9/6/19,363
9/9/19,358.779999
9/10/19,369.48999
9/11/19,382.940002
9/12/19,375.630005
9/13/19,379.76001
9/16/19,378.850006
9/17/19,384.200012
9/18/19,386.410004
9/19/19,384.440002
9/20/19,379.390015
9/23/19,377.029999
9/24/19,381.649994
9/25/19,386.200012
9/26/19,386.890015
9/27/19,382.859985
9/30/19,380.470001
10/1/19,374.940002
10/2/19,367.359985
10/3/19,372.070007
10/4/19,375.700012
10/7/19,376.540009
10/8/19,374.100006
10/9/19,374.959991
10/10/19,371
10/11/19,374.920013
10/14/19,373.179993
10/15/19,370.959991
10/16/19,372.429993
10/17/19,369.059998
10/18/19,344
10/21/19,331.059998
10/22/19,337
10/23/19,340.5
10/24/19,344.549988
10/25/19,339.829987
10/28/19,340.880005
10/29/19,348.929993
10/30/19,346.059998
10/31/19,339.910004
11/1/19,345.190002
11/4/19,351.089996
11/5/19,358.290009
11/6/19,354.190002
11/7/19,357.309998
11/8/19,351
11/11/19,366.959991
