Date,Open,High,Low,Close,Adj Close,Volume
2020-02-06,9630.0,9869.0,9530.0,9763.0,9763.0,3831983024
2020-02-07,9763.0,9890.0,9713.0,9815.0,9815.0,2479752042
2020-02-08,9815.0,9957.5,9665.5,9908.0,9908.0,2628334844
2020-02-09,9908.0,10185.5,9899.0,10172.5,10172.5,2935217599
2020-02-10,10172.5,10199.0,9715.5,9862.5,9862.5,3654168022
2020-02-11,9862.5,10400.0,9725.0,10286.0,10286.0,3819505406
2020-02-12,10286.0,10500.0,10257.0,10363.0,10363.0,3195518429
2020-02-13,10363.0,10550.0,10075.0,10241.0,10241.0,4590116972
2020-02-14,10241.0,10393.0,10119.0,10369.5,10369.5,2321594602
2020-02-15,10369.5,10402.5,9731.0,9907.0,9907.0,2793702129
2020-02-16,9907.0,10049.0,9642.0,9934.0,9934.0,2631092637
2020-02-17,9934.0,9970.0,9485.0,9715.0,9715.0,3536302919
2020-02-18,9715.0,10300.0,9621.0,10195.5,10195.5,3722933606
2020-02-19,10195.5,10331.0,9260.5,9596.5,9596.5,4113270117
2020-02-20,9596.5,9688.0,9354.0,9607.5,9607.5,2896538588
2020-02-21,9607.5,9788.0,9506.0,9694.0,9694.0,1943485619
2020-02-22,9694.0,9718.5,9560.5,9675.5,9675.5,1047504190
2020-02-23,9675.5,10045.0,9674.5,9966.0,9966.0,2129179142
2020-02-24,9966.0,10036.0,9480.0,9660.5,9660.5,3127248830
2020-02-25,9660.5,9697.5,9233.5,9317.0,9317.0,2825728347
2020-02-26,9317.0,9368.0,8580.0,8780.0,8780.0,4672566740
2020-02-27,8780.0,8969.0,8523.0,8820.0,8820.0,3233578879
2020-02-28,8820.0,8902.5,8438.0,8717.5,8717.5,3535037527
2020-02-29,8717.5,8806.5,8525.5,8531.5,8531.5,1624579497
2020-03-01,8531.5,8769.0,8400.0,8532.5,8532.5,2865341712
2020-03-02,8532.5,8967.0,8490.0,8918.5,8918.5,2260357992
2020-03-03,8918.5,8930.0,8660.0,8757.0,8757.0,2506496796
2020-03-04,8757.0,8849.0,8665.0,8756.5,8756.5,1706557363
2020-03-05,8756.5,9171.0,8756.0,9070.5,9070.5,2680324726
2020-03-06,9070.5,9180.0,9001.0,9158.5,9158.5,1771717908
2020-03-07,9158.5,9224.5,8851.0,8900.0,8900.0,2109118200
2020-03-08,8900.0,8900.0,8001.0,8038.5,8038.5,3565316312
2020-03-09,8038.5,8184.5,7630.5,7928.0,7928.0,4800156501
2020-03-10,7928.0,8150.0,7723.0,7889.5,7889.5,3415078897
2020-03-11,7889.5,7985.0,7593.0,7939.0,7939.0,2616658378
2020-03-12,7939.0,7967.0,4266.0,4346.0,4346.0,9879605680
2020-03-13,4346.0,5873.5,3596.0,5571.5,5571.5,8470456293
2020-03-14,5571.5,5651.0,5046.0,5160.5,5160.5,2284697834
2020-03-15,5160.5,5974.0,5087.0,5338.5,5338.5,2416784951
2020-03-16,5338.5,5347.5,4394.0,5036.5,5036.5,3767784970
2020-03-17,5036.5,5566.0,4930.0,5327.0,5327.0,2483878294
2020-03-18,5327.0,5455.0,5003.5,5409.5,5409.5,2329210649
2020-03-19,5409.5,6464.0,5260.0,6185.0,6185.0,2961750416
2020-03-20,6185.0,6946.0,5653.0,6204.0,6204.0,3783695861
2020-03-21,6204.0,6448.0,5860.0,6192.0,6192.0,2179889762
2020-03-22,6192.0,6422.5,5737.5,5820.5,5820.5,2206628792
2020-03-23,5820.5,6640.5,5683.0,6486.0,6486.0,2720999038
2020-03-24,6486.0,6876.5,6400.0,6765.0,6765.0,2242836537
2020-03-25,6765.0,6984.0,6454.0,6685.5,6685.5,2234063864
2020-03-26,6685.5,6793.5,6490.0,6760.5,6760.5,1532859653
2020-03-27,6760.5,6875.0,6250.5,6363.5,6363.5,1641982373
2020-03-28,6363.5,6364.0,6031.5,6250.0,6250.0,1883833066
2020-03-29,6250.0,6277.0,5860.5,5869.0,5869.0,1502675683
2020-03-30,5869.0,6647.0,5846.0,6408.0,6408.0,2146883987
2020-03-31,6408.0,6524.5,6325.0,6425.0,6425.0,1367303451
2020-04-01,6425.0,6723.5,6141.5,6671.5,6671.5,2207635222
2020-04-02,6671.5,7299.0,6571.0,6795.5,6795.5,2972605816
2020-04-03,6795.5,7049.5,6600.0,6738.0,6738.0,2140975954
2020-04-04,6738.0,7097.0,6600.0,6875.0,6875.0,1619522774
2020-04-05,6875.0,6920.0,6660.5,6775.5,6775.5,1148471580
2020-04-06,6775.5,7391.5,6766.0,7338.0,7338.0,2341814274
2020-04-07,7338.0,7475.5,7076.0,7193.0,7193.0,2098135699
2020-04-08,7193.0,7430.0,7152.0,7362.5,7362.5,1776328298
2020-04-09,7362.5,7373.0,7080.0,7289.5,7289.5,1676985467
2020-04-10,7289.5,7299.0,6754.0,6868.5,6868.5,2206832440
2020-04-11,6868.5,6950.0,6766.0,6885.0,6885.0,1054582288
